row,member_id,member,xl_name,country,source,student_send,student_accept,teacher_send,teacher_accept,note,skipped_departments
4,125,Baku Eurasian University,Bakü Avrasya Üniversitesi / Baku Eurasian University,Azerbaijan,asosiy jadval,10,10,10,10,Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes (for female students) · Meals: Yes (2 meals a day),"Uluslararası İlişkiler, Bölge Çalışmaları (ABD–Kanada, Avrup"
5,127,Azerbaijan State Pedagogical University,Azerbaycan Devlet Pedagoji Üniversitesi,Azerbaijan,asosiy jadval,5,5,5,5,Term: Fall and Spring · Dormitory: Yes · Meals: No,Dil ve Edebiyat Öğretmenliği Tarih Öğretmenliği Matematik Öğ
6,18,Azerbaijan State University of Economics (UNEC),Azerbaijan State University of Economics,Azerbaijan,asosiy jadval,10,0,20,30,students out Fall/Spring 5/5; staff in Fall/Spring 15/15; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Guest house only for teaching staff · Meals: Not provided,All disciplines: https://unectest.safaroff.com/en/fakulteler
7,129,Baku Higher Oil School,Bakü Yüksek Petrol Okulu / Baku Higher Oil School,Azerbaijan,asosiy jadval,20,20,6,20,students in Fall/Spring 10/10; students out Fall/Spring 10/10; staff in Fall/Spring 10/10; staff out Fall/Spring 3/3 · Term: Fall and Spring · Dormitory: Yes · Meals: Yes,"Petrol Mühendisliği, Kimya Mühendisliği, Proses Otomasyon Mü"
8,16,Azerbaijan University of Architecture and Construction,Azerbaijan University of Architecture and Construction,Azerbaijan,asosiy jadval,10,10,10,10,Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Öğretim üyeleri için misafirhane; Öğrenciler için yurt var · Meals: yalnız hafta içi sabah ve öğlen yemek imkanı var (tatil günleri ve haftasonu yoktur),Yalnız aşağıdakı alanlarda değişim yapılacaktır: 1.Mimarlık 
9,19,Baku Slavic University,Baku Slavyan Universiteti / Baku Slavic University,Azerbaijan,asosiy jadval,10,10,10,10,Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes · Meals: No,"Philology (Azerbaijani Language and Literature), Philology ("
10,14,Baku State University,Bakı Dövlət Universiteti/Baku State University,Azerbaijan,asosiy jadval,10,10,0,0,Term: Fall and Spring · Dormitory: Yes · Meals: No,"Faculty of Mechanics and Mathematics, Faculty of Applied Mat"
11,25,Mingachevir State University,Mingeçevir Devlet Universitesi/Mingachevir State University,Azerbaijan,asosiy jadval,40,20,20,20,students in Fall/Spring 10/10; students out Fall/Spring 20/20; staff in Fall/Spring 10/10; staff out Fall/Spring 10/10 · Term: Fall and Spring · Dormitory: Misafir Evi · Meals: 2 meals a day available from Monday till Friday,"1.İşletme/Business Administration (Eğitim Dilleri:Eng, Az) 2"
12,126,Azerbaijan State University of Culture and Arts,Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti/Azerbaijan State University of Culture and Arts,Azerbaijan,asosiy jadval,10,20,10,10,students in Fall/Spring 10/10; students out Fall/Spring 5/5; staff in Fall/Spring 5/5; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: No · Meals: No,"Sahne sanatları, Resim, TV ve Sinema, Müzik, Turizm/ Perform"
13,124,Lankaran State University,Lankaran State University Lənkəran Dövlət Universiteti,Azerbaijan,asosiy jadval,40,100,10,20,students in Fall/Spring 50/50; students out Fall/Spring 20/20; staff in Fall/Spring 10/10; staff out Fall/Spring 5/5 · Term: Fall and Spring · Dormitory: Yes · Meals: No,Bakalavr / Lisans / Bachelor Azərbaycanca: Xarici dil müəlli
